ETF COMPLEX POSITION,VEGA RISK month,IV % year,Dividend Yield,Dividend Yield Median,IV O_S,IV DIA year,IV median 6 m,IV ATM,HV 20,HV 50,HV 100,HV DIA,RSI 14,CURRENT PRICE,SMA 20,SMA 100,WEIGHT PCR SIGNAL,WEIGHT PCR sparkline,O_S WEIGHT PCR SIGNAL,O_S Plot Link,TREND,MAX PAIN month,Horizontal scew (IV 1 month - 2 month)
AMLP,0.02,2.06043956,7.8990,7.538,0.0,1,0.20160625,0.15557018,0.18033441,0.18385855,0.1941769794,1,72.45342513,"=GOOGLEFINANCE(A2,""price"")",39.85499992,38.84599987,UP,=sparkline(sparkline!B1:W1),Empty,Empty,Strong Uptrend,40.0,-0.0272
EEM,0.03,12.08791209,2.0490,1.68,0.53,1,0.18096939,0.15398273,0.1320759065,0.133155372,0.1554749303,1,58.55393957,"=GOOGLEFINANCE(A3,""price"")",40.08199978,39.28919983,0,=sparkline(sparkline!B2:W2), ( 95%/ 99%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=EEM_W.txt,Strong Uptrend,41.0,-0.0089
EFA,0.03,13.46153846,2.7950,2.706,0.39,1,0.15874508,0.13810822,0.1323933945,0.1215987296,0.1466804523,2,57.56434894,"=GOOGLEFINANCE(A4,""price"")",72.58950043,71.89809975,0,=sparkline(sparkline!B3:W3), (  2%/ 11%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=EFA_W.txt,Strong Uptrend,74.0,-0.022
EWZ,0.07,12.63736264,8.8220,8.0745,0.13,1,0.330983485,0.28097879,0.232164677,0.2531031526,0.2729780366,1,65.92373863,"=GOOGLEFINANCE(A5,""price"")",32.29400005,29.46699999,0,=sparkline(sparkline!B4:W4), (  0%/  1%).........NOW ON A SELL,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=EWZ_W.txt,Strong Uptrend,31.5,-0.0002
EZU,0.03,8.104395604,2.2640,2.7015000000000002,0.52,1,0.2063686,0.17144468,0.1315996695,0.13642552,0.175397437,1,56.63754473,"=GOOGLEFINANCE(A6,""price"")",45.82700005,45.16590004,UP,=sparkline(sparkline!B5:W5),Empty,Empty,Strong Uptrend,45.0,-0.0097
GDX,0.03,4.120879121,1.6100,1.4875,0.31,1,0.34606427,0.28415369,0.2631199675,0.2767879188,0.3052826604,1,51.23926866,"=GOOGLEFINANCE(A7,""price"")",30.75450001,31.70010002,0,=sparkline(sparkline!B6:W6), ( 54%/ 92%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=GDX_W.txt,Weak downtrend,30.5,-0.0157
GDXJ,0.02,3.846153846,1.2480,2.0164999999999997,0.26,1,0.3936878,0.3127278,0.296694552,0.3093624092,0.3313168538,1,52.14460856,"=GOOGLEFINANCE(A8,""price"")",36.76200027,37.97779991,UP,=sparkline(sparkline!B7:W7),Empty,Empty,Weak downtrend,31.0,-0.0238
GLD,0.0,0.9615384615,Empty,Empty,0.19,1,0.14604547,0.11270901,0.1131852415,0.1265833262,0.1314409256,1,52.00288864,"=GOOGLEFINANCE(A9,""price"")",179.9919983,181.9754996,0,=sparkline(sparkline!B8:W8), ( 94%/ 97%).........NOW ON A BUY,https://www.optionstrategist.com/fileserve.php?type=pc&myFile=GLD_W.txt,Weak downtrend,181.0,-0.0058
IBB,0.01,6.318681319,0.2520,0.272,0.03,1,0.21113095,0.16350743,0.1460454715,0.1522365302,0.1688095171,1,53.34411265,"=GOOGLEFINANCE(A10,""price"")",127.691,128.8319001,UP,=sparkline(sparkline!B9:W9),Empty,Empty,Uptrend,126.0,-0.0041
IJH,0.01,1.785714286,1.4920,1.547,0.28,1,0.2000188,0.14922037,0.1508871965,0.1573481224,0.1815408718,1,65.83031273,"=GOOGLEFINANCE(A11,""price"")",264.0870003,250.9369003,UP,=sparkline(sparkline!B10:W10),Empty,Empty,Strong Uptrend,245.0,-0.0186
